uco,datetime,time,level,event
9003574,2017-07-10 15:10:28,00:00:00,1,Game started
9003574,2017-07-10 15:13:56,00:03:27,1,Game exited prematurely
9003576,2017-07-10 15:14:44,00:00:00,1,Game started
9003585,2017-07-10 15:15:39,00:00:00,1,Game started
9003580,2017-07-10 15:15:44,00:00:00,1,Game started
9003570,2017-07-10 15:16:39,00:00:00,1,Game started
9003577,2017-07-10 15:17:13,00:00:00,1,Game started
9003576,2017-07-10 15:18:10,00:03:25,1,Game exited prematurely
9003590,2017-07-10 15:18:19,00:00:00,1,Game started
9003582,2017-07-10 15:19:07,00:00:00,1,Game started
9003575,2017-07-10 15:19:05,00:00:00,1,Game started
9003578,2017-07-10 15:19:21,00:00:00,1,Game started
9003592,2017-07-10 15:19:36,00:00:00,1,Game started
9003574,2017-07-10 15:19:51,00:00:00,1,Game started
9003585,2017-07-10 15:20:44,00:05:05,1,Wrong flag submited:44914
9003593,2017-07-10 15:20:59,00:00:00,1,Game started
9003585,2017-07-10 15:21:10,00:05:31,1,Wrong flag submited:44914
9003572,2017-07-10 15:21:10,00:00:00,1,Game started
9003579,2017-07-10 15:21:31,00:00:00,1,Game started
9003590,2017-07-10 15:22:00,00:03:40,1,Correct flag submited
9003577,2017-07-10 15:22:35,00:05:21,1,Hint 1 taken
9003584,2017-07-10 15:22:42,00:00:00,1,Game started
9003591,2017-07-10 15:22:42,00:00:00,1,Game started
9003574,2017-07-10 15:22:43,00:02:52,1,Game exited prematurely
9003585,2017-07-10 15:22:50,00:07:10,1,Correct flag submited
9003575,2017-07-10 15:24:36,00:00:00,1,Game started
9003570,2017-07-10 15:25:18,00:08:39,1,Hint 1 taken
9003580,2017-07-10 15:26:31,00:10:47,1,Correct flag submited
9003571,2017-07-10 15:26:48,00:00:00,1,Game started
9003570,2017-07-10 15:26:49,00:10:10,1,Hint 2 taken
9003581,2017-07-10 15:27:29,00:00:00,1,Game started
9003572,2017-07-10 15:27:52,00:06:41,1,Correct flag submited
9003591,2017-07-10 15:27:56,00:05:14,1,Wrong flag submited:111
9003575,2017-07-10 15:28:38,00:04:01,1,Correct flag submited
9003571,2017-07-10 15:28:38,00:01:50,1,Wrong flag submited:start
9003571,2017-07-10 15:28:49,00:02:01,1,Wrong flag submited:start
9003593,2017-07-10 15:29:11,00:08:11,1,Correct flag submited
9003577,2017-07-10 15:29:45,00:12:31,1,Hint 2 taken
9003590,2017-07-10 15:30:23,00:08:23,2,Correct flag submited
9003576,2017-07-10 15:31:04,00:00:00,1,Game started
9003577,2017-07-10 15:32:50,00:15:37,1,Wrong flag submited:4
9003570,2017-07-10 15:32:47,00:16:08,1,Wrong flag submited:50171
9003577,2017-07-10 15:33:05,00:15:51,1,Wrong flag submited:5
9003570,2017-07-10 15:33:05,00:16:26,1,Correct flag submited
9003592,2017-07-10 15:33:50,00:14:14,1,Correct flag submited
9003574,2017-07-10 15:35:20,00:00:00,1,Game started
9003578,2017-07-10 15:35:25,00:16:03,1,Wrong flag submited:111
9003574,2017-07-10 15:35:26,00:00:06,1,Correct flag submited
9003578,2017-07-10 15:35:40,00:16:19,1,Hint 1 taken
9003577,2017-07-10 15:35:46,00:18:32,1,Wrong flag submited:111
9003577,2017-07-10 15:36:04,00:18:50,1,Correct flag submited
9003572,2017-07-10 15:36:25,00:08:33,2,Correct flag submited
9003582,2017-07-10 15:36:41,00:17:34,1,Correct flag submited
9003578,2017-07-10 15:38:31,00:19:09,1,Hint 2 taken
9003577,2017-07-10 15:38:41,00:02:37,2,Hint 1 taken
9003576,2017-07-10 15:38:57,00:07:52,1,Correct flag submited
9003593,2017-07-10 15:39:06,00:09:55,2,Wrong flag submited:25
9003593,2017-07-10 15:39:22,00:10:11,2,Hint 1 taken
9003593,2017-07-10 15:39:36,00:10:25,2,Hint 2 taken
9003584,2017-07-10 15:40:00,00:17:18,1,Hint 1 taken
9003584,2017-07-10 15:40:08,00:17:26,1,Hint 2 taken
9003579,2017-07-10 15:40:08,00:18:36,1,Correct flag submited
9003593,2017-07-10 15:40:09,00:10:58,2,Correct flag submited
9003577,2017-07-10 15:40:51,00:04:47,2,Hint 2 taken
9003575,2017-07-10 15:41:21,00:12:43,2,Correct flag submited
9003577,2017-07-10 15:41:54,00:05:50,2,Wrong flag submited:8854
9003577,2017-07-10 15:42:00,00:05:56,2,Level cowardly skipped
9003580,2017-07-10 15:42:32,00:16:00,2,Correct flag submited
9003582,2017-07-10 15:43:44,00:07:02,2,Wrong flag submited:8820
9003591,2017-07-10 15:43:52,00:21:10,1,Correct flag submited
9003580,2017-07-10 15:43:57,00:01:25,3,Hint 3 taken
9003580,2017-07-10 15:43:59,00:01:26,3,Hint 4 taken
9003592,2017-07-10 15:44:06,00:10:15,2,Correct flag submited
9003578,2017-07-10 15:44:19,00:24:57,1,Wrong flag submited:111/tcp
9003577,2017-07-10 15:44:44,00:02:44,3,Hint 1 taken
9003577,2017-07-10 15:44:50,00:02:50,3,Hint 2 taken
9003582,2017-07-10 15:44:54,00:08:12,2,Wrong flag submited:8730
9003571,2017-07-10 15:44:55,00:18:07,1,Hint 1 taken
9003582,2017-07-10 15:45:45,00:09:03,2,Wrong flag submited:8714
9003578,2017-07-10 15:46:18,00:26:56,1,Wrong flag submited:68
9003570,2017-07-10 15:46:43,00:13:37,2,Wrong flag submited:8130
9003593,2017-07-10 15:47:16,00:07:06,3,Hint 3 taken
9003577,2017-07-10 15:47:15,00:05:15,3,Hint 3 taken
9003577,2017-07-10 15:47:17,00:05:17,3,Hint 4 taken
9003593,2017-07-10 15:47:20,00:07:11,3,Hint 4 taken
9003582,2017-07-10 15:47:54,00:11:12,2,Correct flag submited
9003591,2017-07-10 15:48:15,00:04:22,2,Wrong flag submited:7929
9003591,2017-07-10 15:49:03,00:05:10,2,Wrong flag submited:8126
9003580,2017-07-10 15:49:41,00:07:08,3,Hint 1 taken
9003574,2017-07-10 15:49:46,00:14:19,2,Wrong flag submited:7929
9003574,2017-07-10 15:50:07,00:14:40,2,Wrong flag submited:7933
9003576,2017-07-10 15:50:30,00:11:32,2,Correct flag submited
9003574,2017-07-10 15:50:33,00:15:07,2,Wrong flag submited:6608
9003584,2017-07-10 15:51:05,00:28:22,1,Wrong flag submited:111
9003574,2017-07-10 15:51:06,00:15:39,2,Correct flag submited
9003585,2017-07-10 15:51:07,00:28:17,2,Wrong flag submited:6027
9003584,2017-07-10 15:51:29,00:28:47,1,Help level accessed
9003570,2017-07-10 15:52:04,00:18:58,2,Correct flag submited
9003591,2017-07-10 15:52:57,00:09:04,2,Wrong flag submited:8215
9003591,2017-07-10 15:53:12,00:09:20,2,Correct flag submited
9003584,2017-07-10 15:53:35,00:30:53,1,Returned from help level
9003584,2017-07-10 15:53:48,00:31:06,1,Help level accessed
9003584,2017-07-10 15:53:51,00:31:09,1,Level cowardly skipped
9003570,2017-07-10 15:54:03,00:01:59,3,Hint 4 taken
9003570,2017-07-10 15:54:06,00:02:01,3,Hint 3 taken
9003593,2017-07-10 15:54:17,00:14:07,3,Hint 2 taken
9003577,2017-07-10 15:54:25,00:12:25,3,Level cowardly skipped
9003581,2017-07-10 15:55:26,00:27:56,1,Wrong flag submited:58905
9003577,2017-07-10 15:56:13,00:01:48,1,Level cowardly skipped
9003577,2017-07-10 15:56:22,00:00:08,2,Level cowardly skipped
9003577,2017-07-10 15:56:25,00:00:03,3,Level cowardly skipped
9003577,2017-07-10 15:57:04,00:00:39,4,Hint 1 taken
9003585,2017-07-10 15:57:07,00:34:16,2,Hint 1 taken
9003577,2017-07-10 15:57:07,00:00:41,4,Hint 2 taken
9003577,2017-07-10 15:57:08,00:00:43,4,Hint 3 taken